state_name,total_population,pct_white,pct_black,pct_native,pct_asian,pct_two_or_more,male_pop,female_pop,pct_male,pct_female,pct_18_29,pct_30_44,pct_45_64,pct_65_plus,pct_hs_or_less,pct_some_college,pct_assoc,pct_bachelor,pct_grad,urban_pop,rural_pop,pct_urban,pct_rural
Nebraska,1965926,0.7988047362922104,0.047608607851974086,0.009960192,0.024979068388128547,0.11817281016681197,987506,978420,0.5023108702972543,0.4976891297027457,0.16195065327993016,0.19409174099126825,0.1958680031700074,0.20151368871463118,0.079252489,0.46996797534752793,0.10958057935789486,0.2219567279671631,0.11924222789895958,1277852,688074,0.65,0.35
Nevada,3141000,0.5317739573384273,0.094174467,0.013191340337472143,0.087243553,0.26642757083731294,1582476,1558524,0.5038127984718243,0.49618720152817575,0.15024928366762177,0.21129449219993632,0.2150471187519898,0.20281980261063356,0.12631091476134076,0.5127383734935096,0.087102434,0.17760774761950948,0.09624053,2983950,157050,0.95,0.05
New Hampshire,1387834,0.8892626928004358,0.015249662423603975,0.001385612,0.025808562119100698,0.068089555,692568,695266,0.4990279817326856,0.5009720182673144,0.1492822628642907,0.1863234363763966,0.2379729852417508,0.2413083985548704,0.059448764,0.4427598684927598,0.099625256,0.24127595315995887,0.15689015895412506,846579,541255,0.61,0.39
New Jersey,9267014,0.5693465014728585,0.12960517810807234,0.004521413,0.099130529,0.19710955438288968,4558671,4708343,0.4919244753488017,0.5080755246511983,0.1464503021145754,0.19709541822209398,0.22966610388200556,0.2075889817367277,0.093004418,0.41067590204390003,0.067214308,0.2580240338616737,0.17108133799437084,8803663,463351,0.95,0.05
New Mexico,2114768,0.536168034,0.021141326140739786,0.095209498,0.01705388,0.32945836138999646,1050368,1064400,0.49668237839800866,0.5033176216019913,0.1587185922994863,0.19306136654233466,0.19925117081400892,0.22832197196099052,0.12277472279443336,0.48313265550148554,0.092074495,0.16590914259761722,0.13610898422397258,1649519,465249,0.78,0.22
New York,19872319,0.5706905167937371,0.14729071126525295,0.005179416,0.089029569,0.18732313022954192,9702417,10169902,0.4882377844276755,0.5117622155723245,0.15944455199214547,0.20068432878920672,0.22014964634977932,0.21293750367030642,0.12135754877524071,0.39433885261777213,0.088801425,0.22032999388831404,0.17517217963984064,17487641,2384678,0.88,0.12
North Carolina,10584340,0.6325937186447147,0.20580678625214233,0.010475192595853874,0.031541315,0.11900165716520822,5177887,5406453,0.48920263332432634,0.5107973666756737,0.16083629210701847,0.19448005260601983,0.21890254848200266,0.20632264269666317,0.10253380355586279,0.44959617505828436,0.1006627824192591,0.21794965717913303,0.1292575817874607,6562291,4022049,0.62,0.38
North Dakota,779361,0.838918037,0.032345729,0.044800805,0.015637169424695358,0.066852203,399126,380235,0.5121195440880414,0.48788045591195867,0.18146404554500417,0.20122125690148723,0.1826252532523439,0.19758237838434306,0.061706887374815625,0.47500633409866266,0.14043826070560878,0.22655057753231372,0.09629794,444236,335125,0.57,0.43
Ohio,11780046,0.7781966216430733,0.12278950353844119,0.001455937,0.024458054,0.072740887,5809077,5970969,0.49312855,0.5068714502473081,0.1542373433855861,0.1900772713451204,0.21544075464561005,0.21866833117629592,0.083777567,0.517178763,0.089549328,0.19027607349879558,0.11921826774786344,9070635,2709411,0.77,0.23
Oklahoma,3995260,0.6679047170897514,0.070717801,0.073928856,0.023415247067775313,0.16210459394382343,1988686,2006574,0.4977613471964278,0.5022386528035723,0.16474196923354176,0.1980952428627924,0.19834553946426514,0.197685758,0.10868711726122306,0.5300574522256822,0.083442969,0.18105912752122513,0.096753334,2596919,1398341,0.65,0.35
Oregon,4238714,0.7661889903399947,0.019261030586163633,0.010917462230289658,0.044500289,0.15512794682538147,2113849,2124865,0.49870054927036833,0.5012994507296317,0.15288670101356214,0.21195768339170795,0.20824735993039398,0.2248908513289644,0.082826935,0.46335497068861076,0.091584271,0.22340243825740397,0.13883138420594437,3433358,805356,0.81,0.19
Pennsylvania,12986518,0.7580234363052514,0.10731252210946768,0.001841987,0.036995213,0.09547155,6400912,6585606,0.4928890099717261,0.50711099,0.15252833746505415,0.19053590808560078,0.21806553534981432,0.23297892475873824,0.080926929,0.4855036727262954,0.088625922,0.20573745901136067,0.13920601725352136,10259349,2727169,0.79,0.21
Rhode Island,1095371,0.7233722638265939,0.058301708,0.004432288,0.034827469,0.17845460579109726,537173,558198,0.49040279503474166,0.5095972049652584,0.1682817967610974,0.1959345281187835,0.22093701586037973,0.22451845082624974,0.1051841263095537,0.4408497047668721,0.080926717,0.22248279148234718,0.15055666093586004,1018695,76676,0.93,0.07
